		#naca0018		
#group	#point	#x_cord	#y_cord	#z_cord
1	647	0,91243	0,018067	0,0000
1	648	0,91354	0,01785	0,0000
1	649	0,91464	0,017635	0,0000
1	650	0,91573	0,017421	0,0000
1	651	0,91682	0,017207	0,0000
1	652	0,9179	0,016995	0,0000
1	653	0,91898	0,016784	0,0000
1	654	0,92005	0,016573	0,0000
1	655	0,92111	0,016364	0,0000
1	656	0,92216	0,016155	0,0000
1	657	0,92321	0,015948	0,0000
1	658	0,92426	0,015742	0,0000
1	659	0,92529	0,015536	0,0000
1	660	0,92632	0,015332	0,0000
1	661	0,92734	0,015129	0,0000
1	662	0,92836	0,014927	0,0000
1	663	0,92937	0,014726	0,0000
1	664	0,93037	0,014525	0,0000
1	665	0,93137	0,014326	0,0000
1	666	0,93236	0,014129	0,0000
1	667	0,93334	0,013932	0,0000
1	668	0,93432	0,013736	0,0000
1	669	0,93529	0,013541	0,0000
1	670	0,93625	0,013348	0,0000
1	671	0,9372	0,013156	0,0000
1	672	0,93815	0,012964	0,0000
1	673	0,9391	0,012774	0,0000
1	674	0,94003	0,012585	0,0000
1	675	0,94096	0,012398	0,0000
1	676	0,94188	0,012211	0,0000
1	677	0,9428	0,012026	0,0000
1	678	0,94371	0,011841	0,0000
1	679	0,94461	0,011658	0,0000
1	680	0,9455	0,011476	0,0000
1	681	0,94639	0,011296	0,0000
1	682	0,94727	0,011116	0,0000
1	683	0,94815	0,010938	0,0000
1	684	0,94901	0,010761	0,0000
1	685	0,94987	0,010585	0,0000
1	686	0,95073	0,01041	0,0000
1	687	0,95157	0,010237	0,0000
1	688	0,95241	0,010065	0,0000
1	689	0,95325	0,0098936	0,0000
1	690	0,95407	0,009724	0,0000
1	691	0,95489	0,0095556	0,0000
1	692	0,9557	0,0093885	0,0000
1	693	0,95651	0,0092226	0,0000
1	694	0,9573	0,0090581	0,0000
1	695	0,95809	0,0088948	0,0000
1	696	0,95888	0,0087329	0,0000
1	697	0,95965	0,0085722	0,0000
1	698	0,96042	0,0084129	0,0000
1	699	0,96118	0,0082549	0,0000
1	700	0,96194	0,0080982	0,0000
1	701	0,96269	0,0079428	0,0000
1	702	0,96343	0,0077888	0,0000
1	703	0,96416	0,0076361	0,0000
1	704	0,96489	0,0074848	0,0000
1	705	0,96561	0,0073348	0,0000
1	706	0,96632	0,0071862	0,0000
1	707	0,96702	0,0070389	0,0000
1	708	0,96772	0,0068931	0,0000
1	709	0,96841	0,0067486	0,0000
1	710	0,9691	0,0066055	0,0000
1	711	0,96977	0,0064638	0,0000
1	712	0,97044	0,0063235	0,0000
1	713	0,9711	0,0061846	0,0000
1	714	0,97176	0,0060471	0,0000
1	715	0,9724	0,005911	0,0000
1	716	0,97304	0,0057763	0,0000
1	717	0,97368	0,0056431	0,0000
1	718	0,9743	0,0055113	0,0000
1	719	0,97492	0,005381	0,0000
1	720	0,97553	0,005252	0,0000
1	721	0,97613	0,0051246	0,0000
1	722	0,97673	0,0049986	0,0000
